,Unnamed: 0,Weekday,Race,Rank,Number,Distance,Meeting Name 2,Fixed Open Price,Finishing Position,Betting Status,Number of runners,Fixed Open Price Order,weatherCondition,trackCondition
109,109,5,6,3,3,1255,11,2,3,2,12,4,1,2
110,110,5,6,1,6,1255,11,2,1,2,12,1,1,2
111,111,5,6,5,12,1255,11,2,2,2,12,11,1,2
112,112,5,7,2,7,1255,11,2,4,1,12,6,1,2
113,113,5,7,3,5,1255,11,2,0,1,12,6,1,2
114,114,5,7,4,12,1255,11,2,0,1,12,3,1,2
115,115,5,7,1,10,1255,11,2,0,1,12,4,1,2
116,116,5,7,5,1,1255,11,2,2,2,12,5,1,2
117,117,5,1,4,6,1850,86,2,0,1,14,9,0,2
118,118,5,1,5,3,1850,86,2,2,2,14,2,0,2
119,119,5,1,1,5,1850,86,2,1,2,14,1,0,2
120,120,5,1,2,1,1850,86,2,0,1,14,7,0,2
121,121,5,1,3,14,1850,86,2,0,1,14,3,0,2
122,122,5,2,2,6,1100,86,2,0,1,11,4,0,2
123,123,5,2,3,9,1100,86,2,0,1,11,3,0,2
124,124,5,2,4,1,1100,86,2,0,1,11,9,0,2
125,125,5,2,5,2,1100,86,2,1,2,11,6,0,2
126,126,5,2,1,8,1100,86,2,0,1,11,2,0,2
127,127,5,3,1,1,1100,86,2,0,1,11,5,0,2
128,128,5,3,2,4,1100,86,2,4,1,11,3,0,2
129,129,5,3,3,6,1100,86,2,1,2,11,2,0,2
130,130,5,3,4,11,1100,86,2,2,2,11,1,0,2
131,131,5,3,5,13,1100,86,2,0,1,11,7,0,2
132,132,5,4,3,4,1100,86,2,1,2,11,8,0,2
133,133,5,4,5,5,1100,86,2,0,1,11,7,0,2
134,134,5,4,2,6,1100,86,2,4,1,11,6,0,2
135,135,5,4,4,7,1100,86,2,2,2,11,9,0,2
136,136,5,4,1,9,1100,86,2,3,2,11,5,0,2
137,137,5,5,5,5,1450,86,2,0,1,10,7,0,2
138,138,5,5,3,8,1450,86,2,4,1,10,4,0,2
139,139,5,5,2,10,1450,86,2,3,2,10,6,0,2
140,140,5,5,4,1,1450,86,2,2,2,10,3,0,2
141,141,5,5,1,6,1450,86,2,1,2,10,2,0,2
142,142,5,6,2,3,1450,86,2,3,2,8,3,0,2
143,143,5,6,1,5,1450,86,2,1,2,8,4,0,2
144,144,5,6,5,6,1450,86,2,0,1,8,7,0,2
145,145,5,6,4,4,1450,86,2,2,2,8,1,0,2
146,146,5,6,3,1,1450,86,2,4,1,8,6,0,2
147,147,5,7,1,2,1450,86,2,2,2,10,6,0,2
148,148,5,7,4,8,1450,86,2,1,2,10,2,0,2
149,149,5,7,2,1,1450,86,2,0,1,10,10,0,2
150,150,5,7,3,4,1450,86,2,0,1,10,5,0,2
151,151,5,7,5,3,1450,86,2,3,2,10,4,0,2
152,152,5,8,5,3,1850,86,2,0,1,13,5,0,2
153,153,5,8,4,10,1850,86,2,1,2,13,4,0,2
154,154,5,8,3,9,1850,86,2,2,2,13,3,0,2
155,155,5,8,2,7,1850,86,2,0,1,13,6,0,2
156,156,5,8,1,8,1850,86,2,0,1,13,8,0,2
157,157,5,9,4,6,1100,86,2,3,2,10,7,0,2
158,158,5,9,3,5,1100,86,2,0,1,10,5,0,2
159,159,5,9,5,10,1100,86,2,0,1,10,6,0,2
160,160,5,9,2,3,1100,86,2,4,1,10,8,0,2
161,161,5,9,1,4,1100,86,2,1,2,10,10,0,2
162,162,5,1,1,1,1000,121,2,0,0,10,3,1,2
163,163,5,1,3,9,1000,121,2,0,1,10,12,1,2
164,164,5,1,5,2,1000,121,2,3,2,10,8,1,2
165,165,5,1,4,7,1000,121,2,0,0,10,7,1,2
166,166,5,1,2,8,1000,121,2,0,1,10,5,1,2
167,167,5,2,4,8,1400,121,2,0,0,11,5,1,2
168,168,5,2,5,6,1400,121,2,3,2,11,6,1,2
169,169,5,2,2,1,1400,121,2,2,2,11,4,1,2
170,170,5,2,1,3,1400,121,2,1,2,11,3,1,2
171,171,5,2,3,13,1400,121,2,0,1,11,8,1,2
172,172,5,3,1,7,1600,121,2,3,2,9,6,1,2
173,173,5,3,3,8,1600,121,2,2,2,9,7,1,2
174,174,5,3,5,4,1600,121,2,0,1,9,8,1,2
175,175,5,3,2,5,1600,121,2,0,1,9,5,1,2
176,176,5,3,4,12,1600,121,2,1,2,9,4,1,2
177,177,5,4,1,12,2000,121,2,0,1,12,2,1,2
178,178,5,4,2,3,2000,121,2,3,2,12,1,1,2
179,179,5,4,3,11,2000,121,2,2,2,12,3,1,2
180,180,5,4,5,2,2000,121,2,0,1,12,7,1,2
181,181,5,4,4,4,2000,121,2,0,1,12,8,1,2
182,182,5,5,5,3,1600,121,2,3,1,6,3,1,2
183,183,5,5,2,7,1600,121,2,4,1,6,6,1,2
184,184,5,5,4,5,1600,121,2,1,2,6,4,1,2
185,185,5,5,3,4,1600,121,2,0,1,6,5,1,2
186,186,5,5,1,1,1600,121,1,2,2,6,1,1,2
187,187,5,6,2,1,1400,121,2,0,1,10,5,1,2
188,188,5,6,4,6,1400,121,2,1,2,10,2,1,2
189,189,5,6,1,8,1400,121,2,4,1,10,1,1,2
190,190,5,6,3,5,1400,121,2,0,1,10,4,1,2
191,191,5,6,5,9,1400,121,2,3,2,10,6,1,2
192,192,5,7,3,8,1200,121,2,0,1,9,4,1,2
193,193,5,7,4,9,1200,121,2,0,1,9,6,1,2
194,194,5,7,1,2,1200,121,2,4,1,9,9,1,2
195,195,5,7,5,3,1200,121,2,1,2,9,2,1,2
196,196,5,7,2,7,1200,121,2,2,2,9,3,1,2
197,197,5,8,1,6,1200,121,2,0,1,12,7,1,2
198,198,5,8,5,2,1200,121,2,1,2,12,3,1,2
199,199,5,8,4,5,1200,121,2,0,1,12,8,1,2
200,200,5,8,2,9,1200,121,2,4,1,12,6,1,2
201,201,5,8,3,11,1200,121,2,3,2,12,5,1,2
202,202,5,1,5,3,1000,125,2,3,1,7,7,0,2
203,203,5,1,4,1,1000,125,2,4,1,7,5,0,2
204,204,5,1,2,2,1000,125,2,2,2,7,2,0,2
205,205,5,1,3,6,1000,125,2,0,1,7,4,0,2
206,206,5,1,1,4,1000,125,1,1,2,7,1,0,2
207,207,5,2,1,2,1600,125,2,4,1,10,3,0,2
208,208,5,2,5,9,1600,125,2,0,1,10,6,0,2
209,209,5,2,3,6,1600,125,2,2,2,10,7,0,2
210,210,5,2,4,7,1600,125,2,0,1,10,5,0,2
211,211,5,2,2,10,1600,125,2,0,1,10,4,0,2
212,212,5,3,2,6,1300,125,2,0,1,10,2,0,2
213,213,5,3,5,1,1300,125,2,4,1,10,6,0,2
214,214,5,3,4,3,1300,125,2,0,1,10,7,0,2
215,215,5,3,1,5,1300,125,2,1,2,10,1,0,2
216,216,5,3,3,11,1300,125,2,3,2,10,3,0,2
217,217,5,4,4,7,1300,125,2,3,2,9,4,0,2
218,218,5,4,3,3,1300,125,2,1,2,9,3,0,2
219,219,5,4,5,5,1300,125,2,0,1,9,8,0,2
220,220,5,4,2,6,1300,125,2,4,1,9,5,0,2
221,221,5,4,1,12,1300,125,2,0,1,9,2,0,2
222,222,5,5,3,2,2000,125,2,4,1,10,8,0,2
223,223,5,5,2,12,2000,125,2,3,2,10,9,0,2
224,224,5,5,4,3,2000,125,2,0,1,10,4,0,2
225,225,5,5,1,4,2000,125,2,2,2,10,5,0,2
226,226,5,5,5,6,2000,125,2,1,2,10,6,0,2
227,227,5,6,1,2,1200,125,2,3,2,8,7,0,2
228,228,5,6,3,4,1200,125,2,1,2,8,4,0,2
229,229,5,6,2,3,1200,125,2,2,2,8,3,0,2
230,230,5,6,5,8,1200,125,2,4,1,8,5,0,2
231,231,5,6,4,10,1200,125,2,0,1,8,6,0,2
232,232,5,7,2,9,1500,125,2,1,2,12,5,0,2
233,233,5,7,1,3,1500,125,2,0,1,12,7,0,2
234,234,5,7,5,5,1500,125,2,0,1,12,3,0,2
235,235,5,7,4,11,1500,125,2,0,1,12,7,0,2
236,236,5,7,3,4,1500,125,2,4,1,12,2,0,2
237,237,5,1,1,5,1050,133,2,1,2,8,4,0,2
238,238,5,1,3,4,1050,133,2,2,2,8,2,0,2
239,239,5,1,4,6,1050,133,2,0,1,8,6,0,2
240,240,5,1,2,7,1050,133,2,3,2,8,2,0,2
241,241,5,1,5,8,1050,133,2,0,1,8,5,0,2
242,242,5,2,5,2,1050,133,2,0,1,8,4,0,2
243,243,5,2,4,5,1050,133,2,1,2,8,7,0,2
244,244,5,2,1,1,1050,133,2,2,2,8,2,0,2
245,245,5,2,2,3,1050,133,2,0,1,8,5,0,2
246,246,5,2,3,4,1050,133,2,0,1,8,6,0,2
247,247,5,3,4,7,1050,133,2,0,0,8,2,0,2
248,248,5,3,1,1,1050,133,2,0,1,8,1,0,2
249,249,5,3,2,3,1050,133,2,3,2,8,5,0,2
250,250,5,3,3,5,1050,133,2,1,2,8,3,0,2
251,251,5,3,5,6,1050,133,2,0,1,8,7,0,2
252,252,5,4,3,2,1050,133,2,0,0,7,4,0,2
253,253,5,4,2,8,1050,133,2,4,1,7,5,0,2
254,254,5,4,1,5,1050,133,2,0,1,7,2,0,2
255,255,5,4,5,1,1050,133,2,0,1,7,7,0,2
256,256,5,4,4,3,1050,133,2,1,2,7,3,0,2
257,257,5,5,4,2,1500,133,2,0,1,7,3,0,2
258,258,5,5,2,5,1500,133,2,0,1,7,4,0,2
259,259,5,5,3,3,1500,133,2,2,2,7,2,0,2
260,260,5,5,1,1,1500,133,2,1,2,7,1,0,2
261,261,5,5,5,7,1500,133,2,4,1,7,6,0,2
262,262,5,6,1,1,1400,133,2,2,2,7,5,0,2
263,263,5,6,5,4,1400,133,2,0,1,7,7,0,2
264,264,5,6,2,3,1400,133,2,1,2,7,2,0,2
265,265,5,6,3,3,1400,133,2,1,2,7,2,0,2
266,266,5,6,4,5,1400,133,2,4,1,7,3,0,2
267,267,5,7,1,5,1100,133,2,1,2,10,2,0,2
268,268,5,7,3,1,1100,133,2,0,1,10,8,0,2
269,269,5,7,4,8,1100,133,2,0,1,10,10,0,2
270,270,5,7,5,4,1100,133,2,4,1,10,4,0,2
271,271,5,7,2,7,1100,133,2,0,0,10,2,0,2
272,272,5,8,2,2,1300,133,2,0,0,10,8,0,2
273,273,5,8,3,9,1300,133,2,1,2,10,4,0,2
274,274,5,8,1,6,1300,133,2,3,2,10,6,0,2
275,275,5,8,4,5,1300,133,2,0,1,10,5,0,2
276,276,5,8,5,7,1300,133,2,2,2,10,9,0,2
277,277,5,1,2,2,1200,170,2,0,1,7,3,0,2
278,278,5,1,1,5,1200,170,2,1,2,7,1,0,2
279,279,5,1,3,6,1200,170,2,2,2,7,2,0,2
280,280,5,1,4,7,1200,170,2,4,1,7,6,0,2
281,281,5,1,5,9,1200,170,2,0,1,7,8,0,2
282,282,5,2,3,7,1350,170,2,4,1,6,4,0,2
283,283,5,2,2,2,1350,170,2,3,1,6,1,0,2
284,284,5,2,1,1,1350,170,2,1,2,6,2,0,2
285,285,5,2,5,5,1350,170,2,0,1,6,9,0,2
286,286,5,2,4,8,1350,170,2,2,2,6,3,0,2
287,287,5,3,4,7,1600,170,2,0,1,9,2,0,2
288,288,5,3,5,4,1600,170,2,0,1,9,6,0,2
289,289,5,3,2,8,1600,170,2,2,2,9,3,0,2
290,290,5,3,1,9,1600,170,1,1,2,9,1,0,2
291,291,5,3,3,1,1600,170,2,0,1,9,8,0,2
292,292,5,4,3,2,1000,170,2,0,1,9,7,0,2
293,293,5,4,4,1,1000,170,2,3,2,9,5,0,2
294,294,5,4,2,9,1000,170,2,1,2,9,1,0,2
295,295,5,4,5,5,1000,170,2,0,1,9,3,0,2
296,296,5,4,1,4,1000,170,2,2,2,9,2,0,2
297,297,5,5,4,5,1200,170,2,0,1,9,7,0,2
298,298,5,5,1,1,1200,170,2,1,2,9,5,0,2
299,299,5,5,3,3,1200,170,2,3,2,9,4,0,2
300,300,5,5,5,4,1200,170,2,2,2,9,2,0,2
301,301,5,5,2,6,1200,170,2,4,1,9,1,0,2
302,302,5,6,3,5,1200,170,2,2,2,6,3,0,2
303,303,5,6,1,2,1200,170,2,1,2,6,2,0,2
304,304,5,6,2,3,1200,170,2,3,1,6,1,0,2
305,305,5,6,5,1,1200,170,2,0,1,6,6,0,2
306,306,5,6,4,7,1200,170,2,0,0,6,4,0,2
307,307,5,7,1,2,1350,170,2,0,1,11,6,0,2
308,308,5,7,5,8,1350,170,2,2,2,11,3,0,2
309,309,5,7,4,1,1350,170,2,1,2,11,12,0,2
310,310,5,7,2,3,1350,170,2,3,2,11,2,0,2
311,311,5,7,3,6,1350,170,2,0,1,11,5,0,2
312,312,5,8,5,2,1600,170,2,4,1,8,4,0,2
313,313,5,8,4,3,1600,170,2,3,2,8,5,0,2
314,314,5,8,2,1,1600,170,2,1,2,8,2,0,2
315,315,5,8,3,5,1600,170,2,2,2,8,3,0,2
316,316,5,8,1,4,1600,170,2,0,1,8,1,0,2
317,317,6,1,4,6,800,78,2,0,1,9,4,1,4
318,318,6,1,1,3,800,78,1,1,2,9,2,1,4
319,319,6,1,2,4,800,78,2,0,1,9,7,1,4
320,320,6,1,3,7,800,78,2,3,2,9,5,1,4
321,321,6,1,5,8,800,78,2,0,1,9,8,1,4
322,322,6,2,5,6,1200,78,2,1,2,8,3,1,4
323,323,6,2,1,1,1200,78,2,4,1,8,1,1,4
324,324,6,2,4,5,1200,78,2,3,2,8,2,1,4
325,325,6,2,2,8,1200,78,2,2,2,8,4,1,4
326,326,6,2,3,3,1200,78,2,0,1,8,5,1,4
327,327,6,3,3,5,1200,78,2,0,1,7,3,1,4
328,328,6,3,4,1,1200,78,2,1,2,7,5,1,4
329,329,6,3,1,4,1200,78,2,2,2,7,4,1,4
330,330,6,3,2,7,1200,78,2,0,1,7,8,1,4
331,331,6,3,5,8,1200,78,2,3,1,7,6,1,4
332,332,6,4,2,1,1666,78,2,0,1,7,4,1,4
333,333,6,4,4,6,1666,78,2,3,1,7,6,1,4
334,334,6,4,3,3,1666,78,2,0,1,7,2,1,4
335,335,6,4,5,5,1666,78,2,4,1,7,5,1,4
336,336,6,4,1,2,1666,78,2,2,2,7,3,1,4
337,337,6,5,5,4,1000,78,2,3,2,8,6,1,4
338,338,6,5,3,7,1000,78,2,0,1,8,8,1,4
339,339,6,5,1,1,1000,78,1,1,2,8,4,1,4
340,340,6,5,2,5,1000,78,2,4,1,8,7,1,4
341,341,6,5,4,8,1000,78,2,2,2,8,5,1,4
342,342,6,6,4,10,1350,78,2,0,1,10,5,1,4
343,343,6,6,1,3,1350,78,2,4,1,10,3,1,4
344,344,6,6,5,8,1350,78,2,0,1,10,4,1,4
345,345,6,6,3,1,1350,78,2,1,2,10,2,1,4
346,346,6,6,2,4,1350,78,2,2,2,10,1,1,4
347,347,6,7,1,3,1350,78,2,0,1,7,4,1,4
348,348,6,7,4,6,1350,78,2,4,1,7,7,1,4
349,349,6,7,2,5,1350,78,1,0,0,7,1,1,4
350,350,6,7,3,1,1350,78,2,1,2,7,3,1,4
351,351,6,7,5,8,1350,78,2,0,0,7,5,1,4
352,352,6,1,1,1,1200,98,2,3,1,6,4,3,2
353,353,6,1,4,2,1200,98,2,1,2,6,5,3,2
354,354,6,1,5,3,1200,98,2,0,1,6,3,3,2
355,355,6,1,2,4,1200,98,2,2,2,6,2,3,2
356,356,6,1,3,8,1200,98,2,0,1,6,6,3,2
357,357,6,2,5,1,1600,98,2,0,1,8,7,3,2
358,358,6,2,4,6,1600,98,2,4,1,8,8,3,2
359,359,6,2,2,7,1600,98,2,2,2,8,5,3,2
360,360,6,2,1,8,1600,98,2,0,1,8,3,3,2
361,361,6,2,3,4,1600,98,2,3,2,8,2,3,2
362,362,6,3,3,4,2040,98,2,0,1,6,6,3,2
363,363,6,3,4,7,2040,98,2,0,1,6,7,3,2
364,364,6,3,5,2,2040,98,2,2,2,6,5,3,2
365,365,6,3,2,5,2040,98,2,3,1,6,3,3,2
366,366,6,3,1,3,2040,98,2,1,2,6,1,3,2
367,367,6,4,1,6,1200,98,2,0,1,9,9,3,2
368,368,6,4,4,1,1200,98,2,0,1,9,12,3,2
369,369,6,4,2,2,1200,98,2,4,1,9,4,3,2
370,370,6,4,3,8,1200,98,2,0,0,9,8,3,2
371,371,6,4,5,14,1200,98,2,2,2,9,5,3,2
372,372,6,5,2,5,955,98,2,0,1,8,9,3,2
373,373,6,5,3,8,955,98,2,0,1,8,12,3,2
374,374,6,5,5,7,955,98,2,0,1,8,13,3,2
375,375,6,5,1,4,955,98,2,2,2,8,6,3,2
376,376,6,5,4,1,955,98,2,4,1,8,7,3,2
377,377,6,6,4,9,2500,98,2,0,1,8,6,3,2
378,378,6,6,5,3,2500,98,2,0,1,8,3,3,2
379,379,6,6,3,4,2500,98,2,2,2,8,4,3,2
380,380,6,6,2,7,2500,98,2,0,0,8,8,3,2
381,381,6,6,1,8,2500,98,2,0,0,8,1,3,2
382,382,6,7,4,9,1200,98,2,1,2,10,4,3,2
383,383,6,7,5,1,1200,98,2,0,1,10,11,3,2
384,384,6,7,3,2,1200,98,2,0,1,10,3,3,2
385,385,6,7,1,5,1200,98,2,0,1,10,8,3,2
386,386,6,7,2,6,1200,98,2,4,1,10,6,3,2
387,387,6,8,3,4,1200,98,2,0,1,9,9,3,2
388,388,6,8,1,1,1200,98,2,0,1,9,4,3,2
389,389,6,8,4,9,1200,98,2,0,1,9,6,3,2
390,390,6,8,5,8,1200,98,2,1,2,9,3,3,2
391,391,6,8,2,3,1200,98,2,0,0,9,5,3,2
392,392,6,1,5,7,1280,110,2,0,1,10,4,0,2
393,393,6,1,3,2,1280,110,2,0,1,10,5,0,2
394,394,6,1,2,8,1280,110,2,0,1,10,2,0,2
395,395,6,1,1,4,1280,110,2,2,2,10,1,0,2
396,396,6,1,4,11,1280,110,2,1,2,10,3,0,2
397,397,6,2,4,4,1450,110,2,2,2,11,3,0,2
398,398,6,2,2,1,1450,110,2,0,1,11,1,0,2
399,399,6,2,5,2,1450,110,2,4,1,11,2,0,2
400,400,6,2,3,5,1450,110,2,3,2,11,5,0,2
401,401,6,2,1,6,1450,110,2,1,2,11,4,0,2
402,402,6,3,1,4,900,110,2,3,2,12,5,0,2
403,403,6,3,3,9,900,110,2,0,1,12,4,0,2
404,404,6,3,2,2,900,110,2,1,2,12,3,0,2
405,405,6,3,4,7,900,110,2,4,1,12,11,0,2
406,406,6,3,5,14,900,110,2,0,1,12,14,0,2
407,407,6,4,2,6,1280,110,2,2,2,8,3,0,2
408,408,6,4,5,1,1280,110,2,3,2,8,6,0,2
409,409,6,4,4,2,1280,110,2,0,1,8,2,0,2
410,410,6,4,1,4,1280,110,2,1,2,8,1,0,2
411,411,6,4,3,5,1280,110,2,0,1,8,3,0,2
412,412,6,5,5,1,1750,110,2,4,1,11,3,0,2
413,413,6,5,4,9,1750,110,2,0,1,11,7,0,2
414,414,6,5,2,7,1750,110,2,0,1,11,5,0,2
415,415,6,5,1,2,1750,110,2,1,2,11,1,0,2
416,416,6,5,3,3,1750,110,2,2,2,11,2,0,2
417,417,6,6,3,8,1500,110,2,0,1,10,6,0,2
418,418,6,6,4,9,1500,110,2,0,1,10,2,0,2
419,419,6,6,1,5,1500,110,2,0,1,10,4,0,2
420,420,6,6,2,1,1500,110,2,3,2,10,1,0,2
421,421,6,6,5,2,1500,110,2,2,2,10,3,0,2
422,422,6,7,1,5,1280,110,2,0,1,11,3,0,2
423,423,6,7,4,4,1280,110,2,2,2,11,5,0,2
424,424,6,7,3,1,1280,110,2,3,2,11,2,0,2
425,425,6,7,5,9,1280,110,2,0,1,11,6,0,2
426,426,6,7,2,3,1280,110,2,1,2,11,1,0,2
427,427,6,8,1,11,900,110,2,0,1,9,7,0,2
428,428,6,8,3,8,900,110,2,0,0,9,8,0,2
429,429,6,8,5,7,900,110,2,0,1,9,10,0,2
430,430,6,8,2,2,900,110,2,0,1,9,3,0,2
431,431,6,8,4,5,900,110,2,3,2,9,6,0,2
432,432,6,1,2,1,1190,113,2,2,2,6,2,1,2
433,433,6,1,3,2,1190,113,2,4,1,6,3,1,2
434,434,6,1,1,3,1190,113,1,1,2,6,1,1,2
435,435,6,1,5,4,1190,113,2,0,1,6,5,1,2
436,436,6,1,4,6,1190,113,2,3,1,6,4,1,2
437,437,6,2,1,4,1190,113,1,1,2,7,1,1,2
438,438,6,2,5,1,1190,113,2,4,1,7,3,1,2
439,439,6,2,2,2,1190,113,2,0,1,7,4,1,2
440,440,6,2,3,6,1190,113,2,0,1,7,5,1,2
441,441,6,2,4,7,1190,113,2,2,2,7,2,1,2
442,442,6,3,5,6,1720,113,2,0,1,7,3,1,2
443,443,6,3,4,1,1720,113,2,0,1,7,6,1,2
444,444,6,3,2,4,1720,113,2,2,2,7,2,1,2
445,445,6,3,1,5,1720,113,1,1,2,7,1,1,2
